Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"Da água ao trilho de ferro :
ensaios projetuais em João
Neiva.",2017,"Nossa, Damiany Farina","Almeida, Renata Hermanny
de.",,Master plan e análise de joão neiva,Projeto de urbanismo,Análise/ ensaio projetual/ urbanismo/ João Neiva,João Neiva
"O desenho Urbano como
instumento de
transformação da
identidade da cidade : o
caso do projeto de Lerner
para Serra - ES",2016,"Nova, Juliana Gonçalves
Villa","Frizzera, Kleber
Perini",,Análise de desenho urbano para transformação da identidade da cidade de Serra - ES,História e Teoria da Arquitetura e Urbanismo,Análise/ urbanismo/ requalificação,Serra
"Em processo a condição da
cidade contemporânea",2004,"Novas, Grasiella Drumond
Bowen Vilas.","Frizzera,
Kleber",,analise dos espaços de transição/conhecimentos/encontros na serra,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano,Serra
"Tancredão: um parque com
conceitos bioclimáticos e
incentivo a atividade
esportiva",2007,"Noventa, Jennifer Martins","Alvarez, Cristina Engel de",,Projeto de parque com conceitos bioclimaticos no Tancredão,Projeto de paisagismo,Projeto/ parque/ bioclimático,Mário Cypreste
"Morfogênese na arquitetura:
ensaios projetuais",2018,"Nunes, Caio Muniz","Martino, Jarryer Andrade de","Almeida,
Lutero Pröschodt",ensaios projetuais morfogenéticos; Rhynoceros; em Vitória,Informática aplicada a arquitetura,Ensaio projetual/ morfogênese/ Rhynoceros,Vitória
"Bem-vindo à cidade: ensaio
sobre a urbanidade e
dominio público dos
espaços livres da Prai da
Costa",2018,"Nunes, Carla Gabriele","Frizzera, Kleber Perini","Romanelli,
Marco Antonio Cypreste",Projeto urbano Praia da Costa,Projeto de urbanismo,Projeto/ urbanismo/ requalificação,Praia da Costa
"A imagem da cidade :
contexto, uso e
transformações.",2005,"Ogawa, Fabiana Yumi.","Esteves Júnior, Milton.","Miranda, Clara
Luiza.",Interpretação crítica do ambiente urbano: shopping Center Praia da Costa,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano/ Shopping,Praia da Costa
"Teatro Vitória : o endereço
da arte no Espírito Santo",2007,"Oleari, Aline Duarte","Gomes, Colette D. Dantas",,"PRojeto para um teatro em Vitória, incluindo conforto acústico na Praia do Suá",Projeto de arquitetura,Projeto/ teatro/ conforto acústico,Praia do Suá
"Um olhar sobre o Rio
Marinho: diretrizes para
valorização paisagística e
urbanística do curso
d""água.",2017,"Olioza, Amanda Daleprane.","Romanelli, Marco Antonio
Cypreste",,Vila Velha/ Cariacica,Projeto de urbanismo,Projeto/ intervenção/orla/ rio/ Rio Marinho,Rio Marinho
"Dinâmicas e
representações de uma
cidade segregada : São
Pedro e Ilha do Frade no
contexto de Vitória.",2004,"Oliveira Junior, Adilson
Pereira de","Eneida Maria
Mendonça.",,Pesquisa sobre o processo de estruturação e consolidação de Vitória,História e Teoria da Arquitetura e Urbanismo,Análise/ urbano/ segregação/ história,São Pedro e Ilha do Frade
"Remodelação de uma área
urbana: parque Praia da
Costa:",2008,"Oliveira, Aline Fernandes
de","Mendonça,Eneida
Maria Souza",,Projeto de parque urbano e recuperação do canal da costa,Projeto de paisagismo,Projeto/ parque/ orla/ canal da Costa,Canal da Costa
"Biblioteca parque pautdada
nos principais conceitos
bioclimáticos.",2017,"Oliveira, Ana Karolina
Marques de","Rodrigues,
Edna Aparecida Nico","Alvarez,
Cristina Engel",Projeto de bibliboteca parque em conceitos bioclimáticos em Serra,Projeto de arquitetura,Projeto/ biblioteca/ bioclimático/ sustentabilidade,Serra
"O estudo do espaço público
sob a ótica da violência
urbana.",2004,"Oliveira, Andréa Christina
Barroso de","Alvarez,
Cristina Engel de",,Arquitetura e urbanismo como meio para minimizar o avanço da violência urbana em Vitória,História e Teoria da Arquitetura e Urbanismo,Análise/ arquitetura/ urbanismo/ violência urbano,Vitória
"Arquitetura prisional. : uma
nova era",2006,"Oliveira, Christian vieira de.","Ribeiro, Rogério
Almenara",,Projeto de complexo prisional sobre uma plataforma aquática usando arquitetura modular ,Projeto de arquitetura,Projeto/ presídio/ modular/ flutuante,mar
"Arquitetura efêmera:
tecnologia e contraponto no
fluir das imagens",2000,"Oliveira, Flavia Gonçalves
de","Miranda, Clara
","Alvarez, Cristina Engel",Arquitetura flutuante: projeto de tensoestruturas para o evento do Reveillon,Sistemas estruturais,Projeto/ tensoestrutura/ evento ,mar
