Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"Centro de educação
ambiental para o mar",2001,"Santo, Amábeli Dell","Alvarez, Cristina Engel de","Duarte, Maria
Cristina Coelho","Projeto Centro de educação
ambiental para o mar na ilha da baleia",Projeto de arquitetura,Projeto/ centro de (núcleo de)/ meio ambiente/ sustentabilidade,Morro do moreno
Parque morro da gamela.,2001,"Santo, Luciana do Espírito","Mandonça, Eneida","Fiorotti,
Marcelo",Proposta de um parque urbano localizado no morro da gamela,Projeto de paisagismo,Projeto/ parque/ urbano,Santa Lúcia (morro da Gamela)
Centro Temporário de Acolhimento e Apoio para população em situação de rua,2019,"Santos, Beatriz Rocha","Laranja, Andrea
",Almeida Lutero,Centro Temporário de Acolhimento e Apoio para população em situação de rua no centro de vitória,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ acolhimento/ morador de rua,Centro de Vitória
Ruínas em revitalização,2002,"Santos, Denise Aquino dos","Alvarez, Cristina Engel",,"Projeto de restauro e nova intervenção nas ruínas do palácio nestor gomes no bairro santa clara, vitória, ES",Técnicas retrospectivas,Projeto/ restauro/ intervenção/ patrimônio,Santa Clara
"Retrofit : requalificação do
Templo Assembléia de
Deus Reviver em Vitória",2015,"Santos, Fernanda Ferreira
dos","Alvarez, Cristina Engel
de",,"Projeto de Retrofit para templo de assembleia de Deus na Ilha de Santa Maria, Vitória, ES.",Projeto de arquitetura,Projeto/ igreja/ assembléia de Deus/ retrofit,Ilha de Santa Maria
Parque morro do cruzeiro,2002,"Santos, Flavia de Andrade","Mendonça, Eneida","Marroquim,
Ione","estudo preliminar de intervençao arquitetonica, urbanistica e paisagistica no morro do cruzeiro na grande ibes vila velha",Projeto de paisagismo,Projeto/ parque/ urbano,Ibis (Morro do cruzeiro)
"Arquitetura para a
felicidade: o bem-estar nos
espaços residenciais",2014,"Santos, Heloísa dos","Guedes, Nadja Lisboa da
Silveira","Rodrigues, Edna Aparecida
Nico",Discussão sobre como pensar o espaço doméstico conjugado com conhecimentos de psicologia e intervenção de reforma em residencia unifamiliar com base nos conceitos discutidos,Projeto de arquitetura,Projeto/ reforma/ interiores/ residência,n/d
"Acústica e igrejas: uma
proposta para a igreja
assembleia de Deus
ministério NAD",2014,"Santos, Laiara Martins dos","Romanelli, Marco Antônio
Cypestre","Veronez, Vanuza Ferreira",Proposta de igreja assembleia de deus ministério nad com foco em acústica em nova ponta da fruta vila velha,Projeto de arquitetura,Projeto/ igreja/ assembléia de Deus/ conforto acústico,Ponta da Fruta
"Arquitetura na música e
vice - versa",2005,"Santos, Laila Souza.","Barbosa, Eduardo",,Projeto de centro musical a partir de discussões sobre as relações entre a arquitetura e a música ,Projeto de arquitetura,Análise/ música/ arquitetura/ projeto/ centro (núcleo de),n/d
Os galpões do Jardim.,2004,"Santos, Letícia Regine dos.","Frizzera, Kleber Perini",,Desenvolvimento de proposta de uso para os armazens do IBC em jardim da penha em conta o desenvolvimento histórico e contidiano do bairro,Projeto de arquitetura,Projeto/ retrofit/ história/ análise, Jardim da Penha (Galpões do IBC)
"Arquitetura Penal: uma
penitenciária para Vila
Velha",2013,"Santos, Luciane Veiga dos","Santos, Maria Madalena
dos",,Projeto de uma penitenciária no Xuri,Projeto de arquitetura,Projeto/ Presídio,Xuri
"Mercado Público : um lugar
de trocas comerciais e
relações sociais.",2015,"Santos, Marcela Gabetto","Patek, Maria Madalena dos Santos",,Proposta e projeto de mercado público em itararé,Projeto de arquitetura,Projeto/ mercado público ,Itararé
"Habitação Multifamiliar
Social Durante a Primeira
República em Vitória,
Espírito Santo",2013,"Santos, Sofia Beatriz do
Nascimento","Miranda,
Clara Luiza","Bellini, Anna Karine de
Queiroz Costa",Pesquisa analitico descritiva sobre habitação multifamiliar (social) em vitória no período da primeira republica (1889 - 1930),História e Teoria da Arquitetura e Urbanismo,Análise/ História/ residência/ Período temporal - 1889-1930/ primeira república,Vitória
"Uma proposta arquitetônica
para o Portal Sul de Vitória",2011,"Sarcinelli, Júlia Godoy","Vargas, Paulo Sérgio de
Paula","Rocha,
Bruno Massara",Projeto de complexo residencial/ comercial/ serviços no Tancredão ,Projeto de arquitetura,Projeto/ complexo multifuncional,Mário Cypreste
"(re)descobrindo paisagens :
a proposta para o sistema
hidroviário.",2003,"Sarcinelli, Priscilla
Fernanda","Mendonça,
Eneida Maria.",,Proposta para o sistema hidroviário em vitória,Projeto de urbanismo,Projeto/ mobilidade/ hidroviário,Vitória
"Embarcação: bar, boates e
restaurantes",2002,"Sarcinelli, Tatiana Gomes
Favoreto","Marroquim, Ione","Ribeiro,
Rogério Almenara",Projeto de restaurante/bar/boate no final de Jardim da Penha próximo a Ponte de Camburi,Projeto de arquitetura,Projeto/ restaurante/ boate,Jardim da Penha
"Container : como modo de
habitação",2013,"Sarti, Ximene Ferreira Villar","Bahia, Tarcísio.",,Projeto de habitação em container em um terreno aleatório,Projeto de arquitetura,Projeto/ residência/ container,n/d
"Escola municipal de ensino
fundamental : uma
proposta de projeto",2011,"Sartori, Thais Gonçalves","Bahia, Tarcísio",,"Projeto de ENEF na Ilha de Santa Maria, Vitória, ES",Projeto de arquitetura,Projeto/ escola,Ilha de Santa Maria
"Um estudo sobre a
construção vernacular no
Brasil e nos Estados Unidos
da América",2018,"Sartório, Jéssica Marinho","Miranda, Clara Luzia.",,"Um estudo sobre a
construção vernacular no
Brasil e nos Estados Unidos
da América",História e Teoria da Arquitetura e Urbanismo,Análise/ arquitetura/ vernacular,Estados Unidos
"O espaço que nos cerca:
um ensaio crítico acerca da
sociedade de consumo e
sua influência nos modos
de ser urbano",2007,"Scabello, Fabiano Zacché","Miranda, Clara Luíza",,Estudo do Shopping e um ensaio projetual de um Shopping no Centro de Vtória e intervenção urbana com foco em sustentabilidade e integração da cidade com o shopping. Centro de Vitória,Projeto de arquitetura,Projeto/ análise/ urbano/ shopping,Centro de Vitória
"Conjunto arquitetônico
urbanístico na enseada do
Suá, respeito à relação
homem e lugar",2012,"Scalfoni, André","Almenara,
Rogério,","Abe, André
Tomoyuki","Projeto arquitetônico
 a nível urbano na enseada do
Suá",Projeto de urbanismo,Projeto/ urbanismo/ requalificação,Enseada do Suá
"Cidade e ludicidade: por
uma cidade mais lúcida e
vivida pelas crianças",2017,"Scandian, Virginia Rizo","Penteado, Homer Marconi","Dias, Marina
Simone.",Estudo da relação criança e cidade. Diretrizes para um cidade mais lúdica para crianças.,Projeto de urbanismo,Diretrizes/ urbano/ criança/ lúdica,n/d
De Ruína a Centro Cultural,2006,"Scaramussa, Tiago","Porto,
Nelson",,Projeto de intervenção na ruina da ilha do frade para virar centro cultural,Técnicas retrospectivas,Projeto/ intervenção/ centro de (núcleo de)/ cultura,Ilha do Frade
"Projeto de alojamento
estudantil no campus da
UFES",2013,"Schiavo, Lais Souza","Andrade, Tarcício Bahia de","Romanelli,
Marco Antônio Cypestre","Projeto de alojamento
estudantil no campus goiabeiras da
UFES ",Projeto de arquitetura,Projeto/ moradia estudantil,UFES Goiabeiras
"Cinema e cidade : o futuro
em widescreen.",2004,"Schimitd, Renata Magnoni","Simões, Roberto Garcia",,,,,
"Guarapari: intervenção
urbana em área central
litorânea.",2001,"Schneider, Melissa Marino","Mendonça, Eneida Maria
Souza",,"Projeto de intervenção
urbana em área central
litorânea.",Projeto de urbanismo,Projeto/ urbano/ orla/ rio,Centro de Guarapari
"Se essa cidade fosse minha
... : a retomada do contato
com a água e dos espaços
públioos em Nova Venécia-
ES",2013,"Scopel, Bianca Chiepe","Ribeiro, Rogerio Almenara,",,Projetos de espaços publicos no entorno do rio criacaré  em nova venécia,Projeto de urbanismo,Projeto/ urbano/ orla/ rio/ espaço/ público,Nova Venécia (Rio Cricaré) 
"Paisagem cultural: conceito
e instrumento de proteção",2014,"Sedlmaier, Cláudia
Espindola","Campos,
Martha Machado,","Almeida,
Renata Hermany de,",apresentação e pesquisa sobre o conceito paisagem cultural e sua aplicação no rio de janeiro,História e Teoria da Arquitetura e Urbanismo,Análise/ paisagem cultural/ patrimônio,Rio de Janeiro
"Verde nas ruas : desenho
ambiental para
requalificação urbana do
Bairro Jardim Tropical",2011,"Selim, Valdineia Barbosa","Campos, Martha Machado.",,Propostas pontuais paisagisticas no bairro jardim tropical,Projeto de paisagismo,Paisagismo/ Intervenções pontuais/ urbano,Jardim Tropical
"Arquitetura e os novos
paradigmas : estação VLT
laranjeiras.",2005,"Sena, Natalia Zago","Vargas, Paulo",,Traçar um panorama das transformações em curso e seus efetivos reflexos na arquitetura com ensaio projetual de nova proopsta de vlt e terminal urbano de vlt e edifício comercial em laranjeiras.,Projeto de urbanismo,Projeto/ edifício/ comercial/ mobilidade/ terminal/ VLT,Laranjeiras
A ampliação do aeroporto de Vitória e possiveis transformações dos cenários urbanos,2005,"Serpa, Ana Paula Petronetto","Mendonça, Eneida
Souza",,Estudo e análise das transformações urbanas da ampliação do aeroporto eurico salles (RIU-Relatório de Impacto Urbano),Projeto de urbanismo,Projeto/ análise/ aeroporto/ impactos urbanos,Aeroporto
"Sede de empresa
tecnológica.",2016,"Sessa, Bruna.","Alvarenga,
Augusto",,"Projeto para sede de empresa
tecnológica na Enseada do Suá",Projeto de arquitetura,Projeto/ edifício/ empresa/ tecnologia,Enseada do Suá
"Projeto de alojamento
estudantil no Campus da
UFES",2013,"Shiavo, Lais Souza","Andrade, Tarcísio Bahia
de.",,"Projeto de alojamento
estudantil no Campus Goiabeiras da
UFES",Projeto de arquitetura,Projeto/ moradia estudantil,UFES Goiabeiras
"2001/02 - 2009/02 : na
escala do toque",2009,"Silva Júnior, Cleuber da","Miranda, Clara Luiza","Romanelli,
Marco Antonio",Estudo e análise do periodo academico pessoal do sujeito ,História e Teoria da Arquitetura e Urbanismo,Ensaio/ vida acadêmica/ subjetividade,n/d
"Software BIM como
ferramenta de
compatibilização e
modelagem de projeto",2015,"Silva, Amanda Andreatta da","Alvarenga, Augusto","Alvarez,
Cristina Engel de",Análise do software BIM (Revit) como ferramenta de compatibilização e modelagem de projeto,Informática aplicada a arquitetura,Análise/ BIM/ compatibilização,n/d
"Mudança da paisagem na
rodovia ES-456 em Aracruz
uma investigação teórica e
participativa",2010,"Silva, Andiara Tonon da","Campos, Martha Machado","Saldanha,
João Carlos (","investigação teórica e
participativa da mudança da paisagem na rodovia ES 456 em aracruz",projeto de paisagismo ,análise/ Paisagem/ rua ,Aracruz
"A formação do espaço
cristão : a necessidade do
homem de espacializar sua
fé",2012,"Silva, Anna Carolina Spano","Almenara, Rogerio",,,,,
"Segurança do trabalho
aplicada à arquitetura do
Cemuni III CAR -UFES.",2017,"Silva, Beibiane Ribeiro","Patek, Maria Madalena dos
Santos",,Elaborar mapa de riscos conforme normas de segurança do trabalho no CEMUNI III. Proj. incendio e segurança com diretrizes ,projeto de arquitetura,Projeto/ incêndio/ CEMUNI III,UFES Goiabeiras
"Vazios urbanos:
investigação sobre
intervenções em vazios
para incremento da esfera
de vida pública de Vila
Velha(ES)",2009,"Silva, Bruna Gomes Paulo
da","Campos,Martha
Machado",,"Estudo sobre Vazios Urbanos com propostas pontuais nas regioes 1, 2 e 3 de vila velha",Projeto de urbanismo,Projeto/ vazio urbano/ espaço/ intervenções pontuais,Vila velha
"Parque municipal museu do
mar: um espaço público
para a cidade de Vila Velha-
ES",2013,"Silva, Felipe Magalhães da","Penteado, Homero Marconi","Alvarenga, Augusto",Projeto de parque e museu no farol de Santa Luzia,Projeto de paisagismo,Projeto/ parque/ museu/ farol de Santa Luzia,Praia da Costa
"Planejamento litorâneo:
tríades,base do
desenvolvimento",2008,"Silva, Flavio Gonçalves da","Alvarez, Cristina Engel de",,Projeto de instervenções urbanas e paisagisticas para o litoral do Espírito Santo,Planejamento urbano e regional,Projeto/ intervenção/ paisagem/ orla ,Espírito Santo
"Dever de memória :
arquitetura e urbanismo
como instrumentos de
recuperação social e
preservação da memória
em contextos de pósguerra.",2017,"Silva, Giovanna Gonçalves","Almeida, Renata Hermanny
de.",,análise do papel da arquitetura e do urbanismo na rearticulação de laços memoriais e sociais em contexto de pósguerra,História e Teoria da Arquitetura e Urbanismo,Análise/ memória/ arquitetura/ urbanismo/ pós guerra,n/d
"Uma intervenção com a
arquiterura: O vivenciar pela
perspectiva da percepção.",2002,"Silva, Gislene Rosa da","Miranda, Clara Luiza","Frizzera,
Kleber Perini",Estudo de percepção e fenomenologia da arquitetura e urbanismo ,História e Teoria da Arquitetura e Urbanismo,Análise/ arquitetura/ urbanismo/ fenomenologia,n/d
"Parque da lagoa: Turismo e
lazer na lagoa Juparanã",2001,"Silva, Guanaeli Martias de
Mendonça","Andrade,
Tarcisio Bahia de",,Projeto de parque de Lazer e ecoturismo nas margens da lagoa Juparana em Linhares,Projeto de paisagismo,Projeto/ parque/ lazer/ hotel/ turismo/ orla,Lagoa Juparanã
Unidade de habitação estudantil: projeto,2013,"Silva, Igraine Gonçalves da","Almenara, Rogério","Vargas, Paulo",Moradia estudantil em Santo Antonio,projeto de arquitetura,Projeto/ moradia estudantil,Santo Antônio
"A Arquitetura de edifícios
residenciais multifamiliares
e o mercado imobiliário:
desafios,discussões e
propostas",2007,"Silva, Isabela Rosi da","Penteado, Homero Marconi",,,,,
"APO: Avaliação Pósocupação
da praça Nilze
Mendes Rangel - Jardim
Camburi-",2014,"Silva, Janaína B. P. Da","Simões, Roberto Garcia","Frizzera,
Kleber Perini","APO: Avaliação Pósocupação
da praça Nilze
Mendes Rangel - Jardim
Camburi-",História e Teoria da Arquitetura e Urbanismo,Análise/ praça / pós ocupação,Jardim da Penha
"Restauração da Igreja
Sagrado Coração de Jesus
: preservação do patrimônio
de Itaquari, Cariacica/ES.",2009,"Silva, Jaqueline Pugnal da","Almeida, Renata Hermanny
de",,"Restauração da Igreja
Sagrado Coração de Jesus
: preservação do patrimônio
de Itaquari, Cariacica/ES.",Técnicas Retrospectivas,Projeto/ restauro/ igreja/ Patrimônio/ Sagrado Coração de Jesus,Itaquari
"Arquitetura do consumo:
espaços comerciais
varejistas",2003,"Silva, Juliana Delboni Vieira","Esteves, Milton júnior",,Análise da arquitetura de lojas varejistas de rua com foco no estudo do pólo de modas da glória e do eixo do polo de modas da praia do canto,História e Teoria da Arquitetura e Urbanismo,Análise/ comércio/ moda/ urbano,Grande Vitória
Waterfront,2000,"Silva, Juliana Grillo da","Frizzera, Kleber Perini",,Projeto de Waterfront para jesus de nazaré com projetos arquitetônicos em estudo de massa,Projeto de urbanismo,Projeto/ orla/ urbanismo/ baía,Jesus de Nazareth
Habitação social ampliável,2011,"Silva, Juliana Viana","Fernandes, Fernanda
Queiroz",,Projeto de edifício de habitação de interesse social  em Santa Marta ,Projeto de arquitetura,Projeto/ edifício/ residência/ interesse social,Santa Martha
"Rio Marinho : passado,
presente... e o futuro?",2013,"Silva, Juliano Motta","Romanelli, Marco Antônio
Cypreste",,"Intervenção e projeto urbano nas margens do Rio Marinho, Vila Velha",Projeto de urbanismo,Projeto/ intervenção/orla/ rio/ Rio Marinho,Rio Marinho
"A baía de volta para a
cidade : um novo uso para
a frente portuária de Vitória",2011,"Silva, Lea Marina","Miranda,
Clara Luiza",,Projeto de complexo urbano para o porto de vitória,Projeto de arquitetura,Projeto/ complexo multifuncional/ porto/ orla,Centro de Vitória
"Para quem quer ver: Um
ensaio sobre Arquitetura e
Subjetividade",2002,"Silva, Letícia Tabachi.","Frizzera, Kleber","Miranda, Clara
Luiza",estudo da produção de subjetividade com foco na rua da lama ,História e Teoria da Arquitetura e Urbanismo,Ensaio/ subjetividade/ rua da Lama,Jardim da Penha
"Parque educacional
ecológico das Embaúbas",2018,"Silva, Lilian Gonçalves da","Penteado, Homero Marconi","Laranja,
Andréa Coelho",Projeto de Parque educacional na Pedra roxa - Ibitirama - ES,Projeto de Paisagismo,Projeto/ Parque/ centro de (núcleo de)/ meio ambiente,Pedra Roxa
"Desenho e Arquitetura :
observações sobre relações
e ensino",2005,"Silva, Marcello Alves da",,,Análise historica do desenho tecnico e de criação para a arquitetura ,História e Teoria da Arquitetura e Urbanismo,Análise/ história/ desenho técnico/ arquitetura,n/d
"Coordenação de projetos :
um estudo na Grande
Vitória",2009,"Silva, Mariana Barbosa","Andrade, Tarcísio Bahia de",,"Coordenação de projetos :
um estudo na Grande
Vitória. Análise de praticas e metodos de coordenação e gerenciamento",Tecnologia das construções,Análise/ gerenciamento de projetos e obras ,Grande Vitória
"Parque para cães em
Vitória:",2011,"Silva, Paola Giorgette da","Caser, Karla do Carmo","Resende,
Fernanda Queiroz",Parque para cães em jardim camburi,Projeto de paisagismo,Projeto/ praça/ parcão,Jardim Camburi
"Os muros têm a palavra :
notas de um diálogo entre
arquitetura e literatura nos
domínios da escrita",2009,"Silva, Paulo Muniz da","Miranda, Clara Luíza","Pachito,
Ernesto",Análise sobre muros,História e Teoria da Arquitetura e Urbanismo,Análise/ muro/ materiais/ ensaio,n/d
"Baía de Vitória: e de
potenciais.",2000,"Silva, Rose Marie Del
Fiume","Marroquim, Ione",,Projetos urbanos que envolvem a baía de vitória,Projeto de urbanismo,Projeto/ urbano/ orla/ baía,Vitória
"Reconstrução virtual do
colégio e igreja de São
Thiago - uma forma de
preservar a memória
capixaba.",2005,"Silva, Rubia Pereira da.","Porto, Nelson Ribeiro",,Analise historico e criação de acervo sobre a historia do palacio anchieta,História e Teoria da Arquitetura e Urbanismo,Análise/ levantamento/ história/ palácio Anchieta,Centro de Vitória
Arquitetura como arte,2006,"Silva, Saulo Vieira de
Oliveira.","Miranda, Clara
Luzia",,Estudo investigativo do carácter artisico da arquitetura,História e Teoria da Arquitetura e Urbanismo,Análise/ arte/ arquitetura,N/d
"Os 'Casarões' de Ibatiba :
um encontro com a
arquitetura rural capixaba",2009,"Silveira, Aline Vargas da","Ribeiro, Nelson Porto",,"Análise e estudo dos Casarões de ibatiba, comparativo com arquitetura do rio e sp",História e Teoria da Arquitetura e Urbanismo,Análise/ história/ casas rurais/ patrimônio,Ibatiba
"Obras inacabadas
abandonadas : algumas
questões que envolvem
essa problemática",2006,"Silveira, Caroline Rocha","Mendonça, Eneida
Souza","Esteves Junior, Milton",Análise dos impactos urbanos de edificios de obras inacabadas com proportas para resolver a questão. Porção Leste de Vitoria,História e Teoria da Arquitetura e Urbanismo,Análise/ urbano/ edifício/ abandonado/ intervenção / ensaio projetual,Vitória
"Arquitetura Camuflada : um
ensaio cultural na paisagem
do Morro da Barrinha",2015,"Simão, Tamara Raizer","Bahia, Tarcísio",,Centro cultura no morro da Barrinha (ilha acustico),Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ morro da barrinha,Praia do Canto
"Como seria se não tivesse
sido.",2005,"Simões, Renata matos","Campos, Martha Machado",,Analise e ensaio conceitual da relação homem e cidade contemporanea com analise de projetos iconicos que poderiam mudar a cidade. ,História e Teoria da Arquitetura e Urbanismo,Análise/ projeto/ ensaio/ relação/ homem x cidade,N/d
"Uma nova praça para o
antigo teatro",2015,"Simões, Vivian Dias.","Rodrigues, Edna Nico.",,Projeto paisagistico no entorno do teatro de vila velha com intervenção no teatro,Projeto de paisagismo,Projeto/ paisagismo/ intervenção/ praça/ teatro,Centro de Vila Velha
Cine teatro Colatina,2004,"Simonassi, Roberto.","Alvarez, Cristina Engel de",,projeto de cine teatro em colatina,Projeto de arquitetura,Projeto/ cinema/ teatro,Centro de Colatina
"Projeto de organização
física do espaço : bairro
IBES - Vila Velha.",2004,"Siqueira, Vanessa Calixto","Marroquim, Ione.",,Projeto urbano para o Ibis vila velha,Projeto de urbanismo,Projeto/ urbanismo,Ibis
"Edifício institucional em
João Neiva - ES : avaliação
do desempenho térmico",2017,"Sirtuli, Bruna Perovano","Rodrigues. Edna Aparecida
Nico.",,"Projeto de edificio institucional com foco em arq bioclimatica em joao neiva, com analise de avaliação termica",Projeto de arquitetura,Projeto/ edifício/ institucional/ bioclimático/ desempenho térmico,João Neiva
"Indivíduo e meio: cidadania
na habitação.",2002,"Soares, Glyvani Rubim","Almenara, Rogério","Alvarez,
Cristina Engel de",Projeto de habitação social em regios de aclive e declive em vitoria,Topografia,Residência/ interesse social/ morro,Vitória
"O uso da madeira na
construção civil.",2017,"Soares, Joquebede do
Prado Correa","Nico-
Rodrigues, Edna
Aparecida",,Análise da evolução do uso da madeira na construção civil,Tecnologia das construções,Análise/ materiais/ madeira/ história,n/d
Clássicos à sombra,2018,"Soares, Rannieri de Jesus",,,"Analise de edificações (Escola es, Biblioteca ufes, Embaixada francesa df, mec rjsegundo aspectos e normas para  sombreadores  ",Conforto ambiental,Análise/ sombradores,Vitória
"Apreensão e identificação
de materiais considerados
sustentáveis na construção
Civil : um panorama da
região metropolitana da
Grande Vitória",2011,"Soares, Rubielly Bastos","Fernandes, Fernanda
Queiroz de Resende",,"Projeto residencial unifamiliar para classe media que visse materiais sustentaveis disponiveis na grande vitoria, na enseada do sua",Tecnologia das construções,Projeto/ residência/ materiais/ análise/ sustentabilidade,Enseada do Suá
"Museu do rio Doce  - Projeto de ravalorização da açucareira, Governador Valadares, MG",2009,"Soares, Taise Travassos Campos","Almeida, Renata","Pirondi, Ciro",Projeto de intervenção para o edificio Açucareira. Governador Valadares - MG,Técnicas Retrospectivas,Projeto/ restauro/ intervenção/ patrimônio/ edifício/ açucareiro,Governador Valadares
"Módulo Habitacional
evolutico e replicável em
madeira laminada colada",2018,"Soares, Yohana Alves.","Bonatto, Daniella do Amaral Mello.",,"Módulo Habitacional
evolutico e replicável em
madeira laminada colada - Maria Ortiz",Projeto de arquitetura,Projeto/ residência/ materiais/ madeira laminada colada/ modular,Maria Ortiz
"Centro de Atenção ao Idoso
: a influência da arquitetura
na qualidade de vida.",2015,"Sodré, Juliana Sarter","Alvarenga, Augusto",,Centro de atenção ao idoso em jardim da penha,Projeto de arquitetura,Projeto/ idoso/ hospital,Jardim da Penha
"Vitória das águas: a
infraestrutura verde na
melhoria da permeabilidade
dos solos e um melhor
aproveitamento das águas
das chuvas na cidade de
Vitória",2009,"Sodré,Nilton Coutinho","Bissoli, Márcia",,Proposta urbana de infraestrtura verde ao redor da ilha de vitoria,Projeto de paisagismo,Projeto/ infraestrutura verde/ urbano,Vitória
"[Conjunto habitacional de
interesse social para
idosos] os edíficios e os
espaços coletivos",2018,"Sonegheti, Laiz Santos","Almeida, Lutero Pröschodt","Frizzera,
Kleber Perini",Projeto de conjunto habitacional popular para idosos na barra do jucu,Projeto de arquitetura,Projeto/ lar de idosos,Barra do Jucu
"A percepção da luz no
espaço urbano e
arquitetônico",2005,"Soprani, Miriam Guidini.","Alvarez, Cristina Engel de.",,Porjeto urbano e luminotecnico para a ponte seca. Diversos projetos luminotecnicos,Conforto ambiental,Projeto luminotécnico/ ponte/ urbano,Vitória
"Bairro das Oliveiras : Uma
nova proposta de habitação
social em Guaçuí (ES).",2009,"Sorte, Nathália Spala","Rodrigues, Edna Nico",,Projeto de habitação social em guaçui -  Condominio de casa,Projeto de arquitetura,Projeto/ condomínio/ interesse social/ residência,Guaçui
"Morar sozinho: habitação
unipessoalno centro de
Vitória",2018,"Souza, Alexyane Christini
Salles de","Romanelli,
Marco Antonio
C.","Santos,
Maria Madalena",,,,
"Do binário ao concreto :
ensaio projetual orientado
por eixos de opostos.",2005,"Souza, Ana Dieuzeide
Santos.","Esteves Júnior,
Milton.","Marroquim, Ione","Projeto galpoes a partir de conceito ""dos sete eixos binários"" em jucutuquara ",Sistemas estruturais ,ensaio projetual/ eixo binário/ galpão/ concreto,Jucutuquara
"Paisagismo com sequestro
de carbono.",2002,"Souza, Andréa Rodrigues
de","Mendonça, Eneida","Garozi,
Mindszenty José",Paisagismo com foco em vegetações que promovam o sequestro de carbono. Jesus de nazareth,Projeto de paisagismo,Projeto/ paisagismo/ sustentabilidade/ sequestro de carbono,Jesus de Nazareth
"Intervenção na associação
capixaba de idosos :
arquitetura para maior
idade",2005,"Souza, Angela A. De","Mendonça, Eneida",,Requalificação e ampliação da associação cabixaba de idosos. Novo projeto,Projeto de arquitetura,Projeto/ requalificação/ idoso/ associação de idosos,n/d
"Dialogando com a
arquitetura de Ione e
Fernando Marroquim",2000,"Souza, Bethania Gonçalves
de",Ione Marroquim,,Análise empirica das obras de Ione e João Fernando marroquim,História e Teoria da Arquitetura e Urbanismo,Análise/ subjetividade/ arquitetura/ Ione e João Marroquim,n/d
"Pré-inventário do patrimônio
territorial do município de
Itaguaçu (ES) : aplicações
na preservação -
instrumentos políticos de
proteção",2015,"Souza, Camily Prederigo
de","Almeida, Renata
Hermanny de",,"Pré-inventário do patrimônio
territorial do município de
Itaguaçu (ES) : aplicações
na preservação -
instrumentos políticos de
proteção. Meios de preservação ",História e Teoria da Arquitetura e Urbanismo,Levantamento/ análise/ patrimônio territorial,Itaguaçu
"Edifício Glória uma
proposta de revitalização",2002,"Souza, Érika da Cunha
Victor","Souza, Eneida
Maria Mendonça","Marroquim,
Ione Mota",Revitalização do edifício Glória no centro ,Técnicas retrospectivas,Projeto/ restauro/ revitalização/ patrimônio/ edifício Glória ,Centro de Vitória
"Retrofit: Novo uso para
edifício ocioso",2018,"Souza, Gabriel Oliveira de","Costa, Aline Nogueira","Andrade,
Tarcísio Bahia",Retrofit no centro de Vitória. Ed comercial para residencial ,Projeto de arquitetura,Projeto/ retrofit/ residência/ interesse social,Centro de Vitória
"A fragmentação urbana e
uma investigação na cidade
de Vitória",2007,"Souza, Gabriela Melquiades
de","Santos, Milton",,"Analisar a urbanização brasileira, sob a lógica capitalista, e seus efeitos ",História e Teoria da Arquitetura e Urbanismo,Análise/ urbanismo/ capitalismo/ história,n/d
"A fragmentação urbana e
uma investigação na cidade
de Vitória",2007,"Souza, Gabriela Melquiades
de","Santos, Milton",,,,,
"Arquitetura e reciclagem: a
conversão do lixo em
recurso.",2002,"Souza, Janaína Barros","Marroquim, Ione","Almenara,
Rogério",Projeto de fábrica de reciclagem em São Marcos na serra,Projeto de arquitetura,Projeto/ fábrica/ reciclagem/ lixo,São marcos
"Arquitetura para educação
infantil",2008,"Souza, Kelly Rangel
Fernandes","Vargas, Paulo",,Projeto de educação infantil em cariacica. Av. Jocarly Gomes salles,Projeto de arquitetura,Projeto/ escola/ creche,Itaquari
"Armazenando ideias em um
Centro de Eventos :
Retrofit nos antigos
Galpões do IBC",2010,"Souza, Lúcia Maria Eugênio
de","Bahia, Tarcísio",,Retrofit nos galpoes da iab transformando em um centro de eventos ,Projeto de arquitetura,Projeto/ retrofit/ centro de  (núcleo de)/ eventos/ galpão, Jardim da Penha (Galpões do IBC)
"Roteiro turístico de Vitória:
paisagem e arquitetura da
ilha",2003,"Souza, Luciana Duarte de","Abe, André Tomoyuki",,Roteiro turístico para Vitória ,História e Teoria da Arquitetura e Urbanismo,arquitetura/ urbanismo/ rota turística,Vitória
Condomínio Horizontal,2004,"Souza, Luciano Pereira de","Bahia,Tarcísio",,"Projeto condomínio horizontal de médio alto padrão em Interlagos, Vila Velha ",Projeto de arquitetura,Projeto/ Condomínio/ residência/ alta padrão,Interlagos
Enseada: Self-service,2001,"Souza, Marcelo Feu Rosa
K. De","Vargas, Paulo","Alvarenga,
Augusto",Projeto de self service na enseada do Suá ,Projeto de arquitetura,Projeto/ restaurante/ self service,Enseada do Suá
"Arquitetura promocional:
mercado - atuação -
processo projetual do
arquiteto",2013,"Souza, Natália Ambrósio de","Frizzera, Kleber Perini","Simonassi,
Roberto",Projeto de stands para a Vitoria Stone Fair 2015,Projeto de arquitetura,Projeto/ stand/ mercado/ metodologia,Vitória
